I2L,I1L,2
M3L,I1L,2
MCR,I1L,1
NSML,I1L,3
RIPL,I1L,2
I2R,I1R,1
I3,I1R,1
MCR,I1R,4
NSMR,I1R,2
RIPR,I1R,2
I1L,I2L,2
I4,I2L,1
M2L,I2L,1
I1R,I2R,1
M1,I2R,1
M2R,I2R,1
MCR,I2R,1
NSMR,I2R,2
I1R,I3,1
M1,I3,1
MI,I3,1
I2L,I4,1
M2R,I4,2
M4,I4,1
M2L,I5,1
M2R,I5,1
M5,I5,1
M4,I6,5
I2R,M1,1
I3,M1,1
I2L,M2L,1
I5,M2L,1
M4,M2L,1
MCL,M2L,1
I2R,M2R,1
I4,M2R,2
I5,M2R,1
M3R,M2R,1
MCR,M2R,11
MI,M2R,5
I1L,M3L,2
NSMR,M3L,1
M2R,M3R,1
NSMR,M3R,2
I4,M4,1
I6,M4,5
M2L,M4,1
M4,M4,1
M5,M4,2
I5,M5,1
M4,M5,2
M5,M5,1
M2L,MCL,1
I1L,MCR,1
I1R,MCR,4
I2R,MCR,1
M2R,MCR,11
I3,MI,1
M2R,MI,5
I1L,NSML,3
NSMR,NSML,2
I1R,NSMR,2
I2R,NSMR,2
M3L,NSMR,1
M3R,NSMR,2
NSML,NSMR,2
ASHL,ADFL,1
AWCL,ADFL,1
AFDL,ADFL,3
AIZL,ADFL,1
ADAL,ADFL,5
RIPL,ADFL,2
RIAL,ADFL,1
URBL,ADFL,1
ASGR,ADFR,1
AWAR,ADFR,3
AWBR,ADFR,1
AFDR,ADFR,5
AIAR,ADFR,4
ADAR,ADFR,4
RIH,ADFR,1
SMBVR,ADFR,1
SMDVR,ADFR,2
ADLR,ADLL,6
AWAL,ADLL,1
RMGL,ADLL,3
AVDR,ADLL,2
ADLL,ADLR,6
ASGR,ADLR,1
ASKR,ADLR,1
ASGL,ASEL,3
AWCL,ASEL,1
AWCR,ASEL,2
AFDL,ASEL,6
AFDR,ASEL,2
ASGR,ASER,3
AWBR,ASER,1
AFDR,ASER,1
PVQR,ASER,1
ASEL,ASGL,3
AWBL,ASGL,1
AIZL,ASGL,3
AIML,ASGL,1
AINR,ASGL,1
RIVL,ASGL,2
ADFR,ASGR,1
ADLR,ASGR,1
ASER,ASGR,3
ASIR,ASGR,4
AWCR,ASGR,2
AIAR,ASGR,3
AIZR,ASGR,1
AINL,ASGR,1
ADFL,ASHL,1
ASHR,ASHL,7
